Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_3_Creativa,90,7.234580039978027,55,60,1.1,0.95,1.4
Config_3_Creativa,91,6.718675136566162,55,60,1.1,0.95,1.4
Config_3_Creativa,92,7.336373567581177,55,60,1.1,0.95,1.4
Config_3_Creativa,93,7.288148641586304,55,60,1.1,0.95,1.4
Config_3_Creativa,94,6.747900485992432,55,60,1.1,0.95,1.4
Config_3_Creativa,95,7.037997484207153,55,60,1.1,0.95,1.4
Config_3_Creativa,96,7.0259857177734375,55,60,1.1,0.95,1.4
Config_3_Creativa,97,6.78692364692688,55,60,1.1,0.95,1.4
Config_3_Creativa,98,7.252599000930786,55,60,1.1,0.95,1.4
Config_3_Creativa,99,7.0107338428497314,55,60,1.1,0.95,1.4
Config_3_Creativa,100,6.883216619491577,55,60,1.1,0.95,1.4
